candidate_id,rank,score,reasoning
CAND_0053695,11,21.5953,"5.8 yrs exp as Recommendation Systems Engineer. Highly responsive (60%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 21595.3, ""personality"": {""conscientiousness"": 64, ""openness"": 37, ""extraversion"": 83, ""agreeableness"": 80}, ""exec_summary"": ""The candidate is a highly qualified Recommendation Systems Engineer with 5.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 21595.3. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (64%) and openness (37%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""MLOps"", ""Apache Flink"", ""GCP"", ""Pinecone"", ""CNN""]}"
CAND_0013536,12,21.4087,"14.1 yrs exp as Applied ML Engineer. Highly responsive (87%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 21408.7, ""personality"": {""conscientiousness"": 74, ""openness"": 45, ""extraversion"": 45, ""agreeableness"": 53}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 14.1 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 21408.7. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (74%) and openness (45%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""PyTorch"", ""Prompt Engineering"", ""LLMs"", ""NLP"", ""Embeddings""]}"
CAND_0015528,13,21.0425,"7.4 yrs exp as Applied ML Engineer. Highly responsive (53%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 21042.5, ""personality"": {""conscientiousness"": 69, ""openness"": 92, ""extraversion"": 75, ""agreeableness"": 76}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 7.4 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 21042.5. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (69%) and openness (92%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Docker"", ""Weaviate"", ""BentoML"", ""Weights & Biases"", ""LangChain""]}"
CAND_0049538,14,20.986,"5.8 yrs exp as Applied ML Engineer. Highly responsive (72%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 20986.0, ""personality"": {""conscientiousness"": 69, ""openness"": 42, ""extraversion"": 95, ""agreeableness"": 86}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 5.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 20986.0. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (69%) and openness (42%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""LlamaIndex"", ""Feature Engineering"", ""MLflow"", ""Computer Vision"", ""TTS""]}"
CAND_0030953,15,20.5424,"7.8 yrs exp as Search Engineer. Highly responsive (63%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 20542.4, ""personality"": {""conscientiousness"": 77, ""openness"": 85, ""extraversion"": 60, ""agreeableness"": 56}, ""exec_summary"": ""The candidate is a highly qualified Search Engineer with 7.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 20542.4. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (77%) and openness (85%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""TTS"", ""MLOps"", ""Learning to Rank"", ""Databricks"", ""Time Series""]}"
CAND_0079284,16,19.7564,"4.9 yrs exp as Machine Learning Engineer. Highly responsive (79%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""\u2b50 Elite Alumni"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 19756.4, ""personality"": {""conscientiousness"": 82, ""openness"": 87, ""extraversion"": 19, ""agreeableness"": 89}, ""exec_summary"": ""The candidate is a highly qualified Machine Learning Engineer with 4.9 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 19756.4. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (82%) and openness (87%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Recommendation Systems"", ""scikit-learn"", ""QLoRA"", ""LlamaIndex"", ""Illustrator""]}"
CAND_0099806,17,19.3483,"4.6 yrs exp as AI Engineer. Highly responsive (76%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 19348.3, ""personality"": {""conscientiousness"": 83, ""openness"": 45, ""extraversion"": 63, ""agreeableness"": 88}, ""exec_summary"": ""The candidate is a highly qualified AI Engineer with 4.6 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 19348.3. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (83%) and openness (45%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""LoRA"", ""OpenCV"", ""Statistical Modeling"", ""RAG"", ""Agile""]}"
CAND_0064904,18,18.914,"4.9 yrs exp as AI Engineer. Highly responsive (78%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 18914.0, ""personality"": {""conscientiousness"": 82, ""openness"": 40, ""extraversion"": 79, ""agreeableness"": 49}, ""exec_summary"": ""The candidate is a highly qualified AI Engineer with 4.9 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 18914.0. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (82%) and openness (40%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Embeddings"", ""Hugging Face Transformers"", ""Elasticsearch"", ""Diffusion Models"", ""Forecasting""]}"
CAND_0016163,19,18.6949,"6.7 yrs exp as Applied ML Engineer. Highly responsive (72%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""\u2b50 Elite Alumni"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 18694.9, ""personality"": {""conscientiousness"": 87, ""openness"": 42, ""extraversion"": 97, ""agreeableness"": 46}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 6.7 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 18694.9. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (87%) and openness (42%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Hugging Face Transformers"", ""Computer Vision"", ""gRPC"", ""Time Series"", ""Weaviate""]}"
CAND_0039383,20,16.3449,"7.1 yrs exp as Applied ML Engineer. Highly responsive (61%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 16344.9, ""personality"": {""conscientiousness"": 83, ""openness"": 40, ""extraversion"": 93, ""agreeableness"": 40}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 7.1 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 16344.9. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (83%) and openness (40%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""GANs"", ""FAISS"", ""ASR"", ""Kubeflow"", ""Recommendation Systems""]}"
CAND_0043228,21,16.2716,"6.8 yrs exp as Applied ML Engineer. Highly responsive (41%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 16271.6, ""personality"": {""conscientiousness"": 76, ""openness"": 45, ""extraversion"": 73, ""agreeableness"": 70}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 6.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 16271.6. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (76%) and openness (45%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""BigQuery"", ""NLP"", ""ASR"", ""Hugging Face Transformers"", ""FastAPI""]}"
CAND_0060886,22,15.4991,"4.6 yrs exp as Senior Software Engineer (ML). Highly responsive (38%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 15499.1, ""personality"": {""conscientiousness"": 71, ""openness"": 85, ""extraversion"": 41, ""agreeableness"": 44}, ""exec_summary"": ""The candidate is a highly qualified Senior Software Engineer (ML) with 4.6 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 15499.1. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (71%) and openness (85%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""FAISS"", ""Python"", ""MLflow"", ""Statistical Modeling"", ""GANs""]}"
CAND_0070202,23,15.4623,"5.1 yrs exp as Machine Learning Engineer. Highly responsive (60%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 15462.3, ""personality"": {""conscientiousness"": 71, ""openness"": 37, ""extraversion"": 19, ""agreeableness"": 40}, ""exec_summary"": ""The candidate is a highly qualified Machine Learning Engineer with 5.1 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 15462.3. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (71%) and openness (37%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Microservices"", ""Object Detection"", ""OpenCV"", ""Embeddings"", ""Qdrant""]}"
CAND_0068892,24,14.9155,"4.7 yrs exp as Senior Software Engineer (ML). Highly responsive (51%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 14915.5, ""personality"": {""conscientiousness"": 70, ""openness"": 87, ""extraversion"": 87, ""agreeableness"": 35}, ""exec_summary"": ""The candidate is a highly qualified Senior Software Engineer (ML) with 4.7 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 14915.5. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (70%) and openness (87%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""ETL"", ""LlamaIndex"", ""Weaviate"", ""Pinecone"", ""Computer Vision""]}"
CAND_0082086,25,14.6684,"6.0 yrs exp as Senior Software Engineer (ML). Highly responsive (85%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 14668.4, ""personality"": {""conscientiousness"": 83, ""openness"": 35, ""extraversion"": 91, ""agreeableness"": 67}, ""exec_summary"": ""The candidate is a highly qualified Senior Software Engineer (ML) with 6.0 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 14668.4. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (83%) and openness (35%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Feature Engineering"", ""FAISS"", ""Speech Recognition"", ""Pinecone"", ""Kubeflow""]}"
CAND_0074325,26,14.6322,"3.9 yrs exp as AI Research Engineer. Highly responsive (47%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 14632.2, ""personality"": {""conscientiousness"": 66, ""openness"": 37, ""extraversion"": 19, ""agreeableness"": 48}, ""exec_summary"": ""The candidate is a highly qualified AI Research Engineer with 3.9 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 14632.2. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (66%) and openness (37%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""NLP"", ""Milvus"", ""BentoML"", ""OpenSearch"", ""Deep Learning""]}"
CAND_0004402,27,14.2941,"6.0 yrs exp as AI Research Engineer. Highly responsive (83%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 14294.1, ""personality"": {""conscientiousness"": 92, ""openness"": 40, ""extraversion"": 49, ""agreeableness"": 66}, ""exec_summary"": ""The candidate is a highly qualified AI Research Engineer with 6.0 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 14294.1. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (92%) and openness (40%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""TypeScript"", ""TTS"", ""OpenSearch"", ""Speech Recognition"", ""Object Detection""]}"
CAND_0001930,28,14.0341,"6.9 yrs exp as Senior Software Engineer (ML). Highly responsive (65%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 14034.1, ""personality"": {""conscientiousness"": 72, ""openness"": 37, ""extraversion"": 88, ""agreeableness"": 42}, ""exec_summary"": ""The candidate is a highly qualified Senior Software Engineer (ML) with 6.9 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 14034.1. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (72%) and openness (37%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Machine Learning"", ""GraphQL"", ""Webpack"", ""CSS"", ""Kubeflow""]}"
CAND_0020049,29,13.9969,"3.8 yrs exp as Senior Software Engineer (ML). Highly responsive (78%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 13996.9, ""personality"": {""conscientiousness"": 72, ""openness"": 92, ""extraversion"": 35, ""agreeableness"": 49}, ""exec_summary"": ""The candidate is a highly qualified Senior Software Engineer (ML) with 3.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 13996.9. Beyond technical skills, they exhibit a dynamic career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (72%) and openness (92%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Data Pipelines"", ""Reinforcement Learning"", ""Feature Engineering"", ""Information Retrieval"", ""OpenSearch""]}"
